path	author	date	source	title	url	wordcount
/var/www/test/plain/2018/1/3521130.txt	Роман Рожков	2018-01-15	Коммерсант	В сети появилась техническая документация блокчейн-платформы мессенджера Telegram	https://www.kommersant.ru/doc/3521130	90
/var/www/test/plain/2018/1/3521105.txt		2018-01-15	Коммерсант	РКК «Энергия» сообщила о сбое в системе электроснабжения аппарата «Ангосат»	https://www.kommersant.ru/doc/3521105	94
/var/www/test/plain/2018/1/3521112.txt		2018-01-15	Коммерсант	Госслужащим ДНР запретили выезжать на Украину	https://www.kommersant.ru/doc/3521112	114
/var/www/test/plain/2018/1/3521102.txt		2018-01-15	Коммерсант	Умерла солистка группы The Cranberries Долорес О’Риордан	https://www.kommersant.ru/doc/3521102	114
/var/www/test/plain/2018/1/3521100.txt	Андрей Смирнов, Казань	2018-01-15	Коммерсант	В Казани восстановили электроснабжение	https://www.kommersant.ru/doc/3521100	146
/var/www/test/plain/2018/1/3521078.txt		2018-01-15	Коммерсант	Совладелец Промсвязьбанка Алексей Ананьев вернулся в Россию	https://www.kommersant.ru/doc/3521078	239
/var/www/test/plain/2018/1/3521083.txt		2018-01-15	Коммерсант	Европейские компании выразили опасения по поводу проекта закона ЕС о газопроводах	https://www.kommersant.ru/doc/3521083	252
/var/www/test/plain/2018/1/3521071.txt		2018-01-15	Коммерсант	Турция построит судоходный канал в обход пролива Босфор	https://www.kommersant.ru/doc/3521071	82
/var/www/test/plain/2018/1/3521065.txt		2018-01-15	Коммерсант	Зюганов пожаловался Путину на необъективное освещение кампании Грудинина	https://www.kommersant.ru/doc/3521065	162
/var/www/test/plain/2018/1/3521055.txt		2018-01-15	Коммерсант	В СБУ утверждают, что Игорь Плотницкий находится в России	https://www.kommersant.ru/doc/3521055	113
/var/www/test/plain/2018/1/3521050.txt		2018-01-15	Коммерсант	Катрин Денев извинилась перед жертвами сексуального насилия	https://www.kommersant.ru/doc/3521050	135
/var/www/test/plain/2018/1/3521051.txt	Роман Дорофеев	2018-01-15	Коммерсант	Суд отказался вызвать генерала ФСБ Феоктистова на допрос по делу Белых	https://www.kommersant.ru/doc/3521051	272
/var/www/test/plain/2018/1/3521035.txt		2018-01-15	Коммерсант	В Казани без света остались почти 100 тысяч человек	https://www.kommersant.ru/doc/3521035	200
/var/www/test/plain/2018/1/3521032.txt		2018-01-15	Коммерсант	ЦИК утвердил формы бюллетеня для голосования на выборах президента	https://www.kommersant.ru/doc/3521032	154
/var/www/test/plain/2018/1/3521022.txt		2018-01-15	Коммерсант	Фонд штаба Алексея Навального подал к Минюсту встречный иск	https://www.kommersant.ru/doc/3521022	113
