info,url,more,time
Расія інфармавана аб ўвядзенні бязвізавага ўезду для замежнікаў,/be/news/20170110/1484062568-rasiya-infarmavana-ab-uvyadzenni-byazvizavaga-uezdu-dlya-zamezhnikau,"Прэзідэнт Беларусі Аляксандр Лукашэнка 9 студзеня падпісаў указ №8 ""Аб устанаўленні бязвізавага парадку ўезду і выезду замежных грамадзян"".",10.01.2017
Савет ФІФА зацвердзіў пашырэнне ліку ўдзельнікаў ЧС па футболе,/be/news/20170110/1484054281-savet-fifa-zacverdziu-pashyrenne-liku-udzelnikau-chs-pa-futbole,Гэтую інфармацыю пацвердзіла прэс-служба ФІФА ў афіцыйным твітэры.,10.01.2017
Следчы камітэт праводзіць праверку па факце смерці студэнта ў БДУ,/be/news/20170110/1484054080-sledchy-kamitet-pravodzic-praverku-pa-fakce-smerci-studenta-u-bdu,Пра гэта паведаміў афіцыйны прадстаўнік упраўлення Следчага камітэта па Мінску Аляксей Клімовіч.,10.01.2017
У Кітаі знайшлі таямнічую старажытную грабніцу,/be/news/20170110/1484039773-u-kitai-znayshli-tayamnichuyu-starazhytnuyu-grabnicu,Пра гэта паведамляе агенцтва Xinhua.,10.01.2017
У Каліфорніі ўпала знакамітая секвоя з тунэлем у ствале,/be/news/20170110/1484038530-u-kalifornii-upala-znakamitaya-sekvoya-z-tunelem-u-stvale,У Каліфорніі ўпала адно з самых вядомых у ЗША дрэў - Pioneer Cabin Tree.,10.01.2017
"Ліміт дырэктыўнага крэдытавання складзе ў Беларусі Br1,9 млрд",/be/news/20170110/1484049020-limit-dyrektyunaga-kredytavannya-skladze-u-belarusi-br19-mlrd,Адпаведнае рашэнне змешчана ў пастанове Савета Міністраў нумар 1102 ад 29 снежня 2016 года.,10.01.2017
Масквіч скраў з парку пазалочаную статую для сваёй дзяўчыны,/be/news/20170110/1484038062-maskvich-skrau-z-parku-pazalochanuyu-statuyu-dlya-svayoy-dzyauchyny,"Па папярэдніх дадзеных, кошт статуі складае тры мільёны расійскіх рублёў.",10.01.2017
"Беларусы ўвайшлі ў топ-5 на марафонскім этапе ""Дакара""",/be/news/20170110/1484048529-belarusy-uvayshli-u-top-5-na-marafonskim-etape-dakara,"Аб гэтым паведамілі ў кампаніі velcom, якая выступіла тэхнічным партнёрам каманды ""МАЗ-СПОРТаўта"".",10.01.2017
За падпал сяброўкі жыхар Буда-Кашалёўскага раёна асуджаны на 17 год,/be/news/20170110/1484043466-za-padpal-syabrouki-zhyhar-buda-kashalyouskaga-rayona-asudzhany-na-17-god,Пра гэта паведаміла прэс-сакратар абласнога суда Вольга Барсукова.,10.01.2017
"Хакеры ""штрафавалі"" карыстальнікаў за прагляд ""клубнічкі"" ў інтэрнэце",/be/news/20170110/1484043149-hakery-shtrafavali-karystalnikau-za-praglyad-klubnichki-u-internece,Пра гэта паведаміла афіцыйны прадстаўнік УСК па Мінскай вобласці Таццяна Беланогая.,10.01.2017
Тысячы людзей у Мексіцы пратэстуюць з-за павышэння коштаў на бензін,/be/news/20170110/1484036835-tysyachy-lyudzey-u-meksicy-pratestuyuc-z-za-pavyshennya-koshtau-na-benzin,Масавыя пратэсты працягваюцца ў краіне ўжо некалькі дзён.,10.01.2017
Пара з Бабруйска асуджана за вярбоўку дзяўчын для занятку прастытуцыяй,/be/news/20170110/1484043014-para-z-babruyska-asudzhana-za-vyarbouku-dzyauchyn-dlya-zanyatku,Пра гэта паведаміла афіцыйны прадстаўнік УСК па Магілёўскай вобласці Аксана Салянюк.,10.01.2017
Вышукваемы за двайное забойства затрыманы ў Нацыянальным аэрапорце,/be/news/20170110/1484042577-vyshukvaemy-za-dvaynoe-zaboystva-zatrymany-u-nacyyanalnym-aeraporce,Такая інфармацыя размешчана на сайце Міністэрства ўнутраных спраў Беларусі.,10.01.2017
Брытанскія навукоўцы знайшлі спосаб лячыць зубы без пломбаў,/be/news/20170110/1484035585-brytanskiya-navukoucy-znayshli-sposab-lyachyc-zuby-bez-plombau,"Зубы можна прымусіць самастойна аднаўляць пашкоджанні, і такім чынам пакласці канец выкарыстанню пломбаў, перакананыя брытанскія навукоўцы.",10.01.2017
